"","lambda","TP","FP","TN","FN"
"1",0.2,116,42,1059,8
"2",0.2,109,41,1060,15
"3",0.2,108,41,1060,16
"4",0.3,91,21,1080,33
"5",0.2,110,38,1063,14
"6",0.3,96,23,1078,28
"7",0.2,108,43,1058,16
"8",0.2,108,48,1053,16
"9",0.2,110,37,1064,14
"10",0.3,93,12,1089,31
"11",0.2,114,37,1064,10
"12",0.2,111,36,1065,13
"13",0.2,105,48,1053,19
"14",0.3,97,14,1087,27
"15",0.2,115,44,1057,9
"16",0.2,111,44,1057,13
"17",0.2,112,45,1056,12
"18",0.2,111,40,1061,13
"19",0.3,99,17,1084,25
"20",0.2,107,36,1065,17
"21",0.2,105,38,1063,19
"22",0.2,113,49,1052,11
"23",0.3,83,12,1089,41
"24",0.3,91,22,1079,33
"25",0.3,88,22,1079,36
"26",0.3,97,26,1075,27
"27",0.2,115,34,1067,9
"28",0.3,91,16,1085,33
"29",0.2,109,40,1061,15
"30",0.2,112,43,1058,12
"31",0.2,106,48,1053,18
"32",0.2,108,47,1054,16
"33",0.3,97,20,1081,27
"34",0.2,114,45,1056,10
"35",0.3,94,18,1083,30
"36",0.2,111,47,1054,13
"37",0.3,93,14,1087,31
"38",0.2,107,44,1057,17
"39",0.2,109,47,1054,15
"40",0.3,92,15,1086,32
"41",0.3,92,26,1075,32
"42",0.2,110,45,1056,14
"43",0.2,106,43,1058,18
"44",0.3,91,12,1089,33
"45",0.3,95,17,1084,29
"46",0.3,101,10,1091,23
"47",0.2,114,38,1063,10
"48",0.3,93,18,1083,31
"49",0.3,91,21,1080,33
"50",0.2,113,35,1066,11
